Agentid,TimePassed,LaraPosition.x,LaraPosition.y,LaraPosition.z,MarkoPosition.x,MarkoPosition.y,MarkoPosition.z,HalloPosition.x,HalloPosition.y,HalloPosition.z,Food1Position.x,Food1Position.y,Food1Position.z,Food2Position.x,Food2Position.y,Food2Position.z,Food3Position.x,Food3Position.y,Food3Position.z,Food,Health,AttackParticlePosition.x,AttackParticlePosition.y,AttackParticlePosition.z,ParticleContainPosition.x,ParticleContainPosition.y,ParticleContainPosition.z,Speed,Action,Action0,Action1,Action2,Action3,Action4,Action5,Action6
2,2.116665,-0.699995,0,-1.532003,-0.699995,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,1,0,1,0,0,0,0,0
2,2.133332,-0.7999954,0,-1.532003,-0.7999954,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,1,0,1,0,0,0,0,0
2,2.149999,-0.8999958,0,-1.532003,-0.8999958,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,1,0,1,0,0,0,0,0
2,2.166665,-0.9999962,0,-1.532003,-0.9999962,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,1,0,1,0,0,0,0,0
2,2.683331,-1.099997,0,-1.532003,-1.099997,0,-1.532003,1.5,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,2.716665,-0.9999962,0,-1.532003,-0.9999962,0,-1.532003,1.56,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,2.733331,-0.8999958,0,-1.532003,-0.8999958,0,-1.532003,1.62,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,2.749998,-0.7999954,0,-1.532003,-0.7999954,0,-1.532003,1.68,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,2.766665,-0.699995,0,-1.532003,-0.699995,0,-1.532003,1.74,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,2.783331,-0.5999947,0,-1.532003,-0.5999947,0,-1.532003,1.799999,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,3,0,0,0,1,0,0,0
2,2.816665,-0.5999947,0,-1.632003,-0.5999947,0,-1.632003,1.799999,-0.04000002,2.529999,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,3.5,4.25,-8.954,0.89,-7,-10,0.47,-4.96,5,3,0,0,0,1,0,0,0
